"#symbol","logFC","logCPM","LR","PValue","adj.p"
"NFIX",-2.22525214152577,5.57415886583339,15.0212216491681,0.000106308968700292,0.00567070454774222
"ST3GAL1",0.713052835012427,7.11634170899706,4.88637350825544,0.0270694885935798,0.220939209070298
"MMP25",-0.726710756796246,2.81564596537826,0.842852720156809,0.358582163989411,1
"IL32",-1.61887223076609,3.44598359655199,3.53862327237304,0.0599552058993665,0.361965489647768
"PKD1",-0.195344207072575,6.80440255889405,0.366320085134938,0.54501700186508,1
"MAPK8IP2",0.878295720901893,2.29716794450378,2.89830852616755,0.0886725554526522,0.46483526375356
"MED24",-0.311520754023031,5.91814834734731,1.26063555719593,0.261530822570049,0.888412048494366
"RHOBTB2",-1.15453885585242,3.733634320555,8.25012925818531,0.00407490991606606,0.0647630057296263
"HEATR5B",-0.414775632054784,7.53715935097166,1.93246542976928,0.164488966705744,0.675751398454454
"SEC62",-0.0624317044835738,6.59812191493056,0.0383782259384029,0.844685608597328,1
"RPS20",0.228771276961955,10.1939294168997,0.45786576671539,0.498623102626442,1
"CSDE1",-0.0784578172058786,9.69005205035372,0.0581626815834255,0.809423822921596,1
"UBE3C",-0.540354602232162,6.30550374054393,3.55427106432701,0.0593923889593164,0.359946144002499
"REV3L",0.205890908729177,7.11711899389182,0.318261025081316,0.572654584033005,1
"TENM1",0.311940187706885,2.59542863894955,0.120229927232653,0.728785248620857,1
"PAX7",0,1.09982271930342,0,1,1
"MASP2",0.629808849842709,1.28411158112542,0.337639271880165,0.561195058802605,1
"IYD",0.988625307650751,2.84440632217901,4.95819408295895,0.0259673125240342,0.215299785630445
"FAM76A",-0.129081454440021,4.09806464560425,0.159570026091122,0.689552692067551,1
"TRAF3IP3",-0.918200652901013,6.29914786124034,6.22450127864727,0.0125994391537767,0.136043418239313
"POMT2",0.333685642967413,4.04372662116414,0.829355111414562,0.362459071553788,1
"VTA1",-1.52529153112608,5.26637617230342,20.2334950912896,6.85422531678543e-06,0.000802022202136849
